Text,Label
"I want to list my apartment for rent",1
"How do I post a new property?",1
"Can I add photos to my rental listing?",1
"I need to update my property's availability",1
"Where do I manage my rental details?",1
"How to advertise my house for rent?",1
"I want a 3bhk house in andheri",2
"I am looking for a 3bhk house in andheri",2
"Find me a 3bhk house in andheri",2
"Show me 3bhk houses in andheri",2
"Need a 3bhk house in andheri",2
"I want a 2bhk apartment in bandra",2
"Looking for 2bhk apartments in bandra",2
"Find 2bhk flats in bandra",2
"Show me 2bhk properties in bandra",2
"Need a 2bhk house in bandra",2
"I want a 1bhk flat in powai",2
"Looking for 1bhk apartments in powai",2
"Find 1bhk houses in powai",2
"Show me 1bhk properties in powai",2
"Need a 1bhk flat in powai",2
"I want a 4bhk house in juhu",2
"Looking for 4bhk apartments in juhu",2
"Find 4bhk flats in juhu",2
"Show me 4bhk properties in juhu",2
"Need a 4bhk house in juhu",2
"I want a 3 bedroom house in andheri",2
"I am looking for a 3 bedroom house in andheri",2
"Find me a 3 bedroom house in andheri",2
"Show me 3 bedroom houses in andheri",2
"Need a 3 bedroom house in andheri",2
"I want a 2 bedroom apartment in bandra",2
"Looking for 2 bedroom apartments in bandra",2
"Find 2 bedroom flats in bandra",2
"Show me 2 bedroom properties in bandra",2
"Need a 2 bedroom house in bandra",2
"I want a 1 bedroom flat in powai",2
"Looking for 1 bedroom apartments in powai",2
"Find 1 bedroom houses in powai",2
"Show me 1 bedroom properties in powai",2
"Need a 1 bedroom flat in powai",2
"I want a 4 bedroom house in juhu",2
"Looking for 4 bedroom apartments in juhu",2
"Find 4 bedroom flats in juhu",2
"Show me 4 bedroom properties in juhu",2
"Need a 4 bedroom house in juhu",2
"I want a 3bhk house",2
"I am looking for a 3bhk house",2
"Find me a 3bhk house",2
"Show me 3bhk houses",2
"Need a 3bhk house",2
"I want a 2bhk apartment",2
"Looking for 2bhk apartments",2
"Find 2bhk flats",2
"Show me 2bhk properties",2
"Need a 2bhk house",2
"I want a 1bhk flat",2
"Looking for 1bhk apartments",2
"Find 1bhk houses",2
"Show me 1bhk properties",2
"Need a 1bhk flat",2
"I want a 4bhk house",2
"Looking for 4bhk apartments",2
"Find 4bhk flats",2
"Show me 4bhk properties",2
"Need a 4bhk house",2
"I want a house in andheri",2
"I am looking for a house in andheri",2
"Find me a house in andheri",2
"Show me houses in andheri",2
"Need a house in andheri",2
"I want an apartment in bandra",2
"Looking for apartments in bandra",2
"Find flats in bandra",2
"Show me properties in bandra",2
"Need an apartment in bandra",2
"I want a flat in powai",2
"Looking for flats in powai",2
"Find houses in powai",2
"Show me properties in powai",2
"Need a flat in powai",2
"I want a house in juhu",2
"Looking for houses in juhu",2
"Find apartments in juhu",2
"Show me properties in juhu",2
"Need a house in juhu",2
"I want a furnished 3bhk house in andheri",2
"I am looking for a furnished 3bhk house in andheri",2
"Find me a furnished 3bhk house in andheri",2
"Show me furnished 3bhk houses in andheri",2
"Need a furnished 3bhk house in andheri",2
"I want an unfurnished 2bhk apartment in bandra",2
"Looking for unfurnished 2bhk apartments in bandra",2
"Find unfurnished 2bhk flats in bandra",2
"Show me unfurnished 2bhk properties in bandra",2
"Need an unfurnished 2bhk house in bandra",2
"I want a semi-furnished 1bhk flat in powai",2
"Looking for semi-furnished 1bhk apartments in powai",2
"Find semi-furnished 1bhk houses in powai",2
"Show me semi-furnished 1bhk properties in powai",2
"Need a semi-furnished 1bhk flat in powai",2
"I want a pet-friendly 3bhk house in andheri",2
"I am looking for a pet-friendly 3bhk house in andheri",2
"Find me a pet-friendly 3bhk house in andheri",2
"Show me pet-friendly 3bhk houses in andheri",2
"Need a pet-friendly 3bhk house in andheri",2
"I want a house with parking in bandra",2
"Looking for houses with parking in bandra",2
"Find apartments with parking in bandra",2
"Show me properties with parking in bandra",2
"Need a house with parking in bandra",2
"I want a house with a garden in powai",2
"Looking for houses with a garden in powai",2
"Find apartments with a garden in powai",2
"Show me properties with a garden in powai",2
"Need a house with a garden in powai",2
"I want a house with a pool in juhu",2
"Looking for houses with a pool in juhu",2
"Find apartments with a pool in juhu",2
"Show me properties with a pool in juhu",2
"Need a house with a pool in juhu",2
"I want a house with a gym in andheri",2
"Looking for houses with a gym in andheri",2
"Find apartments with a gym in andheri",2
"Show me properties with a gym in andheri",2
"Need a house with a gym in andheri",2
"I want a house with security in bandra",2
"Looking for houses with security in bandra",2
"Find apartments with security in bandra",2
"Show me properties with security in bandra",2
"Need a house with security in bandra",2
"I want a house with a lift in powai",2
"Looking for houses with a lift in powai",2
"Find apartments with a lift in powai",2
"Show me properties with a lift in powai",2
"Need a house with a lift in powai",2
"I want a house with a balcony in juhu",2
"Looking for houses with a balcony in juhu",2
"Find apartments with a balcony in juhu",2
"Show me properties with a balcony in juhu",2
"Need a house with a balcony in juhu",2
"How do I get in touch with customer support?",3
"I have a question about my account",3
"Is there a phone number I can call?",3
"How do I report an issue with the website?",3
"Can I schedule a viewing directly through the site?",3
"What are your office hours?",3
"I forgot my password",3
"Where can I see my saved properties?",4
"How do I add a property to my favorites?",4
"Can I remove a listing from my favorite list?",4
"Why isn't this property showing in my favorites?",4
"I want to share my favorite listings with a friend",4
"Please call me back at 123-456-7890",0
"I'd like someone to contact me about a property",0
"Can you give me a call regarding my inquiry?",0
"Requesting a callback for property ID 5678",0
"When can someone reach out to me?",0
"I want to post a room for rent",1
"My landlord wants to list a new unit",1
"What's the process for posting a single room?",1
"Looking for rentals in downtown",2
"Show me properties with more than 3 bathrooms",2
"I need to find a short-term rental",2
"Do you have offices in other cities?",3
"Who can I speak to about a general inquiry?",3
"Where are my preferred properties?",4
"My favourite list seems empty",4
"Can you ring me back soon?",0
"Please arrange a call for me",0
"I want to rent out my spare room",1
"Put my flat on your website",1
