Text,Label
"I want to list my apartment for rent",1
"I need to post my house for rent",1
"Looking to list my property",1
"How do I put my flat up for rent?",1
"Want to advertise my apartment",1
"Need to list my room for rent",1
"Posting my property for rent",1
"Adding my house to the listings",1
"Putting up my flat for rent",1
"Listing my apartment on the site",1
"I'm looking for a 2bhk house",2
"Need a 3 bedroom apartment",2
"Want to find a 1bhk flat",2
"Show me 2bhk properties",2
"Find me a 3 bedroom house",2
"Looking for 1bhk apartments",2
"Search for 2bhk flats",2
"Need a house with 3 bedrooms",2
"Want a 1bhk property",2
"Show 2bhk houses in the area",2
"I want a house in Andheri",2
"Looking for apartments in Bandra",2
"Need a flat in Powai",2
"Find properties in Worli",2
"Show me houses in Juhu",2
"Search for apartments in Dadar",2
"Looking for flats in Colaba",2
"Need a house in Vile Parle",2
"Want properties in Santacruz",2
"Show me places in Malad",2
"I need a furnished apartment",2
"Looking for unfurnished houses",2
"Want a semi-furnished flat",2
"Show me furnished properties",2
"Find unfurnished apartments",2
"Need a semi-furnished house",2
"Looking for furnished flats",2
"Want unfurnished properties",2
"Show semi-furnished apartments",2
"Find furnished houses",2
"I need a pet-friendly place",2
"Looking for properties with parking",2
"Want a house with a garden",2
"Show me apartments with a pool",2
"Find flats with a gym",2
"Need a place with security",2
"Looking for properties with a lift",2
"Want a house with a balcony",2
"Show me apartments with parking",2
"Find properties with amenities",2
"How do I contact support?",3
"Need to reach customer service",3
"Want to talk to support",3
"Show me contact information",3
"Find the support team",3
"Looking for help desk",3
"Need customer service",3
"Want to contact the team",3
"Show support options",3
"Find contact details",3
"Where are my saved properties?",4
"Show me my favorites",4
"Find my bookmarked listings",4
"View my saved properties",4
"Show my favorite houses",4
"Find my saved apartments",4
"View my bookmarked flats",4
"Show my favorite listings",4
"Find my saved places",4
"View my bookmarked properties",4
"Please call me back",0
"Need a callback",0
"Want to schedule a call",0
"Can you ring me back?",0
"Request a phone call",0
"Need someone to call me",0
"Want to arrange a call",0
"Please give me a call",0
"Request a callback",0
"Need a phone call",0 
